ta_code,trade_date,share_class_currency,opening_os_shares,closing_os_shares,opening_dividend_shares,closing_dividend_shares,opening_receivables,closing_receivables,opening_payables,closing_payables,opening_income_distributions_payable,closing_income_distributions_payable,opening_short_term_gain_distributions_payable,closing_short_term_gain_distributions_payable,opening_long_term_gain_distributions_payable,closing_long_term_gain_distributions_payable
2H2951S,17/02/2023,EUR,467786.0778,467786.0778,,,,,,,,,,,,
2H2952S,17/02/2023,EUR,908928.3397,908928.3397,,,,,,,,,,,,
2H2953S,17/02/2023,EUR,912819.9753,912819.9753,,,,,,,,,,,,
2H2954S,17/02/2023,EUR,1353516.8001,1353516.8001,,,,,,,,,,,,
2H2955S,17/02/2023,EUR,1093951.8166,1093951.8166,,,,,,,,,,,,
2H2956S,17/02/2023,EUR,112039.3856,112039.3856,,,,,,,,,,,,
2H2980S,17/02/2023,EUR,828117.1380,828117.1380,,,,,,,,,,,,
2H2981S,17/02/2023,EUR,1062677.4082,1062677.4082,,,,,,,,,,,,
2H2982S,17/02/2023,EUR,832159.1356,832159.1356,,,,,,,,,,,,
2H2983S,17/02/2023,EUR,560038.6800,560038.6800,,,,,,,,,,,,
2H2984S,17/02/2023,EUR,1092037.1097,1092037.1097,,,,,,,,,,,,
2H2985S,17/02/2023,EUR,1034288.9049,1034288.9049,,,,,,,,,,,,
2H2986S,17/02/2023,EUR,112029.7961,112029.7961,,,,,,,,,,,,
